IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.77.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,0.51
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,0.51
47.76.32.108,80,80,false,HKG,Asia Pacific,Hong Kong,35,0.50
8.218.122.55,2087,2087,true,HKG,Asia Pacific,Hong Kong,174,0.50
8.218.211.17,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,0.48
8.218.181.189,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,0.47
8.217.127.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,0.45
47.76.37.57,2052,2052,false,HKG,Asia Pacific,Hong Kong,53,0.45
8.218.148.106,80,80,false,HKG,Asia Pacific,Hong Kong,44,0.45
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,0.45
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,0.45
47.242.171.94,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.45
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,60,0.44
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,49,0.44
8.218.155.238,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,0.44
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,65,0.44
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,0.43
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,116,0.43
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,24,0.43
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,0.41
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,52,0.40
8.218.148.106,80,80,false,HKG,Asia Pacific,Hong Kong,40,0.40
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,0.39
47.243.234.9,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,0.38
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,61,0.37
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,0.36
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,0.36
47.57.233.126,80,80,false,SJC,North America,San Jose,37,0.35
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,93,0.34
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,0.34
47.76.159.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,0.34
47.57.245.232,443,443,true,SJC,North America,San Jose,77,0.33
47.57.233.126,443,443,true,SJC,North America,San Jose,74,0.32
47.57.245.232,80,80,false,SJC,North America,San Jose,36,0.32
47.76.77.103,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.32
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,0.31
47.254.131.130,443,443,true,FRA,Europe,Frankfurt,348,0.31
8.218.18.235,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,0.31
47.57.233.126,80,80,false,SJC,North America,San Jose,36,0.31
47.76.80.72,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,0.30
8.218.122.55,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.29
149.129.8.215,80,80,false,SJC,North America,San Jose,111,0.29
47.251.74.226,443,443,true,LAX,North America,Los Angeles,176,0.29
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.29
8.218.146.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,0.29
47.76.49.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,0.28
47.237.95.156,2095,2095,false,SIN,Asia Pacific,Singapore,21,0.28
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,24,0.24
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,75,0.23
47.76.146.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,0.23
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,0.22
149.129.8.215,80,80,false,SJC,North America,San Jose,148,0.22
8.218.188.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,0.22
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,0.21
47.89.244.253,443,443,true,SJC,North America,San Jose,347,0.21
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,0.20
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,0.19
47.76.37.57,8080,8080,false,HKG,Asia Pacific,Hong Kong,53,0.19
8.218.122.55,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,0.19
47.76.37.57,2082,2082,false,HKG,Asia Pacific,Hong Kong,64,0.18
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,87,0.17
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,56,0.17
47.242.59.216,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,0.17
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,0.17
149.129.8.215,443,443,true,SJC,North America,San Jose,98,0.17
47.245.84.124,2082,2082,false,SIN,Asia Pacific,Singapore,41,0.16
